deal id,proposed ticker,company name,proposed exchange,proposed share price,shares offered,date,year,month,dollar value of offering,,,Year,Count
763890-56959,GU,Gushan Environmental Energy LTD,New York Stock Exchange,9.6,"18,000,000",2007-12-19T00:00:00+02:00,2007,12,"$172,800,000",,,,
79046-55351,ITLN,INTELLON CORP,Nasdaq National Market,9,"7,500,000",2007-12-14T00:00:00+02:00,2007,12,"$67,500,000",,,,
749953-55267,GIA,GULFSTREAM INTERNATIONAL GROUP INC,American Stock Exchange,8,"800,000",2007-12-14T00:00:00+02:00,2007,12,"$6,400,000",,,,
731386-56261,MEMS,MEMSIC Inc,Nasdaq National Market,10,"6,000,000",2007-12-14T00:00:00+02:00,2007,12,"$60,000,000",,,,
763894-56961,TNK,TEEKAY TANKERS LTD.,New York Stock Exchange,19.5,"10,000,000",2007-12-13T00:00:00+02:00,2007,12,"$195,000,000",,,,
374098-55513,LRN,"Stride, Inc.",New York Stock Exchange,18,"6,000,000",2007-12-13T00:00:00+02:00,2007,12,"$108,000,000",,,,
417835-55869,MDAS,MEDASSETS INC,Nasdaq National Market,16,"13,300,000",2007-12-13T00:00:00+02:00,2007,12,"$212,800,000",,,,
737817-54130,CNSV,"MONGOLIA HOLDINGS, INC.",OTCBB,0.4,"3,120,000",2007-12-12T00:00:00+02:00,2007,12,"$1,248,000",,,,
751467-55427,URX.U,United Refining Energy Corp,American Stock Exchange,10,"45,000,000",2007-12-12T00:00:00+02:00,2007,12,"$450,000,000",,,,
743028-56807,XIN,"Xinyuan Real Estate Co., Ltd.",New York Stock Exchange,14,"17,500,000",2007-12-12T00:00:00+02:00,2007,12,"$245,000,000",,,,
763164-56868,VIT,VanceInfo Technologies Inc.,New York Stock Exchange,8.5,"7,650,000",2007-12-12T00:00:00+02:00,2007,12,"$65,025,000",,,,
626413-56035,CATM,CARDTRONICS PLC,Nasdaq National Market,10,"12,000,000",2007-12-11T00:00:00+02:00,2007,12,"$120,000,000",,,,
763225-56877,CEDU,ChinaEdu CORP,Nasdaq National Market,10,"6,820,000",2007-12-11T00:00:00+02:00,2007,12,"$68,200,000",,,,
403732-55515,ENTR,ENTROPIC COMMUNICATIONS INC,Nasdaq National Market,6,"8,000,000",2007-12-07T00:00:00+02:00,2007,12,"$48,000,000",,,,
749851-55258,USL,"United States 12 Month Oil Fund, LP",American Stock Exchange,50,"11,000,000",2007-12-07T00:00:00+02:00,2007,12,"$550,000,000",,,,
755189-55865,GQN.U,Global Brands Acquisition Corp.,American Stock Exchange,10,"25,000,000",2007-12-07T00:00:00+02:00,2007,12,"$250,000,000",,,,
108376-54302,GTS,TRIPLE-S MANAGEMENT CORP,New York Stock Exchange,14.5,"14,000,000",2007-12-07T00:00:00+02:00,2007,12,"$203,000,000",,,,
762049-56718,VISN,VISIONCHINA MEDIA INC.,Nasdaq National Market,8,"13,500,000",2007-12-06T00:00:00+02:00,2007,12,"$108,000,000",,,,
762230-56758,WH,WSP Holdings LTD,New York Stock Exchange,8.5,"25,000,000",2007-12-06T00:00:00+02:00,2007,12,"$212,500,000",,,,
754609-55794,TITN,Titan Machinery Inc.,Nasdaq National Market,8.5,"5,300,000",2007-12-06T00:00:00+02:00,2007,12,"$45,050,000",,,,
753873-55680,NSAQU,North Shore Acquisition Corp.,OTCBB,8,"6,300,000",2007-12-04T00:00:00+02:00,2007,12,"$50,400,000",,,,
766588-57318,ATAI,ATA Creativity Global,Nasdaq National Market,9.5,"4,874,012",2008-01-29T00:00:00+02:00,2008,1,"$46,303,114",,,,
766561-57313,HOO,Cascal N.V.,New York Stock Exchange,12,"12,000,000",2008-01-29T00:00:00+02:00,2008,1,"$144,000,000",,,,
766940-57339,SOL,ReneSola Ltd,New York Stock Exchange,13,"10,000,000",2008-01-29T00:00:00+02:00,2008,1,"$130,000,000",,,,
